Genre,Publication Date,Author,Title,Rating,Ratings Count,Reviews Count,Author Info
GenresFictionClassicsSchoolHistorical FictionLiteratureRead For SchoolNovels ...more,"First published February 25, 1937",John Steinbeck,Of Mice and Men,3.89,"2,603,868 ratings","55,273 reviews",John Steinbeck870 books23.4k followers
GenresFantasyFictionYoung AdultMagicChildrensMiddle GradeAudiobook ...more,"First published July 8, 1999",J.K. Rowling,Harry Potter and the Prisoner of Azkaban,4.58,"4,321,613 ratings","87,621 reviews",J.K. Rowling754 books227k followers
GenresYoung AdultFictionClassicsDystopiaScience FictionFantasySchool ...more,"First published April 26, 1993",Lois Lowry,The Giver,4.12,"2,551,414 ratings","81,230 reviews",Lois Lowry129 books21.6k followers
GenresFictionClassicsYoung AdultSchoolLiteratureDystopiaRead For School ...more,"First published September 17, 1954",William Golding,Lord of the Flies,3.69,"2,964,602 ratings","58,210 reviews","William Golding139 books4,051 followers"
GenresFictionScience FictionClassicsHistorical FictionWarLiteratureNovels ...more,"First published March 31, 1969",Kurt Vonnegut Jr.,Slaughterhouse-Five,4.10,"1,391,001 ratings","41,712 reviews",Kurt Vonnegut Jr.569 books34.4k followers
GenresFictionLiteratureRussiaNovelsRomanceRussian LiteratureLiterary Fiction ...more,"First published September 1, 1955",Vladimir Nabokov,Lolita,3.88,"869,731 ratings","42,286 reviews",Vladimir Nabokov742 books13.7k followers
GenresFictionClassicsHistorical FictionLiteratureNovelsAmericanLiterary Fiction ...more,"First published January 1, 1952",John Steinbeck,East of Eden,4.42,"554,794 ratings","31,458 reviews",John Steinbeck870 books23.4k followers
GenresFictionClassicsDystopiaScience FictionFeminismFantasyAdult ...more,"First published January 1, 1985",Margaret Atwood,The Handmaid’s Tale,4.14,"2,110,553 ratings","99,978 reviews",Margaret Atwood579 books83.2k followers
GenresFantasyClassicsFictionAdventureHigh FantasyScience Fiction FantasyAudiobook ...more,"First published July 29, 1954",J.R.R. Tolkien,The Fellowship of the Ring,4.39,"2,857,021 ratings","42,209 reviews",J.R.R. Tolkien549 books72.3k followers
GenresFictionClassicsPsychologyLiteratureNovelsMental HealthSchool ...more,"First published February 1, 1962",Ken Kesey,One Flew Over the Cuckoo’s Nest,4.20,"742,784 ratings","16,665 reviews","Ken Kesey70 books2,713 followers"
GenresClassicsFictionPhilosophyFranceLiteratureNovelsFrench Literature ...more,"First published May 19, 1942",Albert Camus,The Stranger,4.02,"1,151,783 ratings","54,644 reviews",Albert Camus857 books32k followers
GenresFictionHistorical FictionRomanceHistoricalJapanAdultNovels ...more,"First published September 23, 1997",Arthur Golden,Memoirs of a Geisha,4.15,"2,026,030 ratings","36,735 reviews","Arthur Golden9 books2,848 followers"
GenresScience FictionFictionHumorFantasyClassicsComedyScience Fiction Fantasy ...more,"First published January 17, 1996",Douglas Adams,The Ultimate Hitchhiker’s Guide to the Galaxy,4.38,"326,890 ratings","6,455 reviews",Douglas Adams89 books22.7k followers
GenresFictionChildrensClassicsFantasyYoung AdultMiddle GradeAnimals ...more,"First published October 15, 1952",E.B. White,Charlotte’s Web,4.20,"1,885,050 ratings","24,515 reviews","E.B. White163 books2,930 followers"
GenresFantasyFictionYoung AdultMagicChildrensMiddle GradeAudiobook ...more,"First published July 2, 1998",J.K. Rowling,Harry Potter and the Chamber of Secrets,4.43,"4,044,128 ratings","82,925 reviews",J.K. Rowling754 books227k followers
GenresFantasyClassicsFictionYoung AdultChildrensChristianMiddle Grade ...more,"First published January 1, 1956",C.S. Lewis,The Chronicles of Narnia,4.28,"664,353 ratings","12,792 reviews","C.S. Lewis1,121 books43.6k followers"
GenresFantasyFictionClassicsYoung AdultScience FictionChildrensMiddle Grade ...more,"First published January 1, 1962",Madeleine L'Engle,A Wrinkle in Time,3.98,"1,220,299 ratings","40,299 reviews","Madeleine L'Engle192 books8,804 followers"
GenresClassicsFictionLiteratureNovelsSchoolAmericanAdventure ...more,"First published September 1, 1952",Ernest Hemingway,The Old Man and the Sea,3.80,"1,182,863 ratings","41,737 reviews","Ernest Hemingway1,875 books29.7k followers"
GenresScience FictionFictionYoung AdultFantasyClassicsScience Fiction FantasyDystopia ...more,"First published January 15, 1985",Orson Scott Card,Ender’s Game,4.31,"1,397,066 ratings","50,618 reviews",Orson Scott Card871 books19.9k followers
GenresChildrensClassicsFictionPicture BooksPoetryYoung AdultFantasy ...more,"First published January 1, 1964",Shel Silverstein,The Giving Tree,4.38,"1,151,343 ratings","22,649 reviews",Shel Silverstein138 books10k followers
GenresFantasyFictionAdventureHigh FantasyScience Fiction FantasyEpic FantasyAudiobook ...more,"First published October 20, 1955",J.R.R. Tolkien,The Return of the King,4.57,"931,798 ratings","19,813 reviews",J.R.R. Tolkien549 books72.3k followers
GenresFantasyFictionAdventureHigh FantasyScience Fiction FantasyEpic FantasyAudiobook ...more,"First published November 11, 1954",J.R.R. Tolkien,The Two Towers,4.49,"1,000,559 ratings","20,850 reviews",J.R.R. Tolkien549 books72.3k followers
GenresNonfictionClassicsMemoirHolocaustBiographySchoolHistorical ...more,"First published January 1, 1956",Elie Wiesel,Night,4.37,"1,270,626 ratings","38,791 reviews","Elie Wiesel324 books4,320 followers"
GenresFictionFeminismMental HealthPsychologyLiteratureLiterary FictionPoetry ...more,"First published January 1, 1963",Sylvia Plath,The Bell Jar,4.06,"1,018,210 ratings","62,847 reviews",Sylvia Plath243 books24.4k followers
GenresFictionHistorical FictionClassicsYoung AdultComing Of AgeHistoricalNew York ...more,"First published August 18, 1943",Betty  Smith,A Tree Grows in Brooklyn,4.30,"475,584 ratings","28,266 reviews","Betty  Smith59 books1,820 followers"
GenresClassicsFictionFantasyYoung AdultAnimalsChildrensAdventure ...more,"First published November 1, 1972",Richard  Adams,Watership Down,4.08,"486,325 ratings","18,000 reviews","Richard  Adams88 books2,043 followers"
GenresFictionFantasyPhilosophyNovelsSelf HelpSpiritualityAdventure ...more,"First published January 1, 1988",Paulo Coelho,The Alchemist,3.91,"3,159,602 ratings","125,880 reviews",Paulo Coelho278 books135k followers
GenresClassicsFictionYoung AdultHistorical FictionChildrensMiddle GradeAudiobook ...more,"First published January 1, 1908",L.M. Montgomery,Anne of Green Gables,4.31,"1,007,445 ratings","40,893 reviews","L.M. Montgomery2,089 books12k followers"
GenresNonfictionClassicsTrue CrimeCrimeMysteryHistoryThriller ...more,"First published January 1, 1959",Truman Capote,In Cold Blood,4.09,"674,477 ratings","24,831 reviews","Truman Capote295 books6,654 followers"
GenresChildrensPicture BooksClassicsFictionPoetryFantasyHumor ...more,"First published August 12, 1960",Dr. Seuss,Green Eggs and Ham,4.31,"791,153 ratings","11,694 reviews",Dr. Seuss941 books17.8k followers
GenresFictionHistorical FictionFeminismLGBTHistoricalQueerAfrican American ...more,"First published June 1, 1982",Alice Walker,The Color Purple,4.27,"702,666 ratings","27,347 reviews","Alice Walker256 books6,747 followers"
GenresFictionClassicsPhilosophyPoliticsLiteratureScience FictionNovels ...more,"First published October 10, 1957",Ayn Rand,Atlas Shrugged,3.69,"393,836 ratings","20,395 reviews","Ayn Rand500 books9,653 followers"
GenresClassicsFictionFantasyPhilosophyShort StoriesLiteratureSchool ...more,"First published October 1, 1915",Franz Kafka,The Metamorphosis,3.88,"1,166,629 ratings","48,531 reviews","Franz Kafka2,984 books31.4k followers"
GenresFictionHistorical FictionAfricaClassicsLiterary FictionHistoricalLiterature ...more,"First published September 24, 1998",Barbara Kingsolver,The Poisonwood Bible,4.10,"754,717 ratings","28,464 reviews",Barbara Kingsolver79 books23.5k followers
GenresFictionHistorical FictionMagical RealismLiteratureNovelsSpanish LiteratureLiterary Fiction ...more,"First published November 1, 1985",Gabriel García Márquez,Love in the Time of Cholera,3.94,"514,282 ratings","28,290 reviews",Gabriel García Márquez839 books37.7k followers
GenresFictionClassicsChildrensYoung AdultHistorical FictionMiddle GradeFantasy ...more,"First published August 1, 1911",Frances Hodgson Burnett,The Secret Garden,4.16,"1,201,239 ratings","29,919 reviews","Frances Hodgson Burnett1,407 books4,451 followers"
GenresClassicsMysteryFictionCrimeShort StoriesDetectiveLiterature ...more,"First published January 1, 1905",Arthur Conan Doyle,The Complete Sherlock Holmes,4.50,"208,826 ratings","5,169 reviews",Arthur Conan Doyle10k books23k followers
GenresClassicsFictionPhilosophySpiritualityReligionLiteratureBuddhism ...more,"First published October 1, 1922",Hermann Hesse,Siddhartha,4.07,"791,064 ratings","28,402 reviews","Hermann Hesse1,883 books17.6k followers"
GenresFictionMysteryGothicRomanceClassicsHistorical FictionThriller ...more,"First published August 1, 1938",Daphne du Maurier,Rebecca,4.24,"646,301 ratings","42,050 reviews","Daphne du Maurier327 books8,952 followers"
GenresHorrorFictionFantasyScience FictionPost ApocalypticThrillerDystopia ...more,"First published October 3, 1978",Stephen         King,The Stand,4.35,"775,822 ratings","30,556 reviews","Stephen         King2,555 books854k followers"
GenresFictionPhilosophyLiteratureNovelsRomanceCzech LiteratureClassics ...more,"First published January 1, 1984",Milan Kundera,The Unbearable Lightness of Being,4.11,"486,129 ratings","27,047 reviews",Milan Kundera183 books17.7k followers
GenresFictionHistorical FictionMysteryHistoricalLiteratureItalyItalian Literature ...more,"First published January 1, 1980",Umberto Eco,The Name of the Rose,4.14,"370,992 ratings","13,469 reviews",Umberto Eco836 books11.1k followers
GenresScience FictionFictionFantasyScience Fiction FantasyClassicsAudiobookNovels ...more,"First published June 1, 1965",Frank Herbert,Dune,4.28,"1,435,531 ratings","71,261 reviews",Frank Herbert331 books14.8k followers
GenresFictionClassicsContemporaryLiteratureLiterary FictionNovelsHistorical Fiction ...more,"First published March 28, 1989",John Irving,A Prayer for Owen Meany,4.24,"324,597 ratings","16,696 reviews",John Irving145 books15.1k followers
GenresPicture BooksChildrensFictionClassicsFantasyAdventureYoung Adult ...more,"First published April 9, 1963",Maurice Sendak,Where the Wild Things Are,4.25,"1,016,148 ratings","14,096 reviews","Maurice Sendak346 books2,118 followers"
GenresChildrensPicture BooksFictionClassicsPoetryFantasyEnvironment ...more,"First published January 1, 1971",Dr. Seuss,The Lorax,4.35,"349,112 ratings","5,144 reviews",Dr. Seuss941 books17.8k followers
GenresFictionFantasyChildrensYoung AdultMiddle GradeClassicsHumor ...more,"First published January 17, 1964",Roald Dahl,Charlie and the Chocolate Factory,4.16,"866,857 ratings","17,040 reviews","Roald Dahl1,390 books25.2k followers"
GenresHistorical FictionFictionHistoricalFantasyClassicsMedievalAudiobook ...more,"First published October 1, 1989",Ken Follett,The Pillars of the Earth,4.34,"776,895 ratings","38,438 reviews",Ken Follett461 books55.1k followers
GenresFictionRussiaFantasyRussian LiteratureMagical RealismLiteratureNovels ...more,"First published January 1, 1967",Mikhail Bulgakov,The Master and Margarita,4.29,"366,732 ratings","22,158 reviews","Mikhail Bulgakov618 books7,049 followers"
GenresClassicsYoung AdultFictionSchoolRead For SchoolComing Of AgeRealistic Fiction ...more,"First published April 24, 1967",S.E. Hinton,The Outsiders,4.13,"1,393,215 ratings","49,417 reviews","S.E. Hinton40 books7,190 followers"
GenresScience FictionFictionHumorFantasyComedyAudiobookScience Fiction Fantasy ...more,"First published October 12, 1979",Douglas Adams,The Hitchhiker’s Guide to the Galaxy,4.23,"1,879,536 ratings","47,888 reviews",Douglas Adams89 books22.7k followers
GenresFictionTravelLiteratureClassicsNovelsAmericanAdventure ...more,"First published September 5, 1957",Jack Kerouac,On the Road,3.61,"418,521 ratings","20,446 reviews",Jack Kerouac281 books10.7k followers
GenresClassicsFictionLiteratureNovelsHistorical FictionAmericanSpain ...more,"First published October 22, 1926",Ernest Hemingway,The Sun Also Rises,3.79,"454,700 ratings","20,097 reviews","Ernest Hemingway1,875 books29.7k followers"
GenresFictionLiteratureClassicsNovelsIrelandIrish Literature20th Century ...more,"First published February 2, 1922",James Joyce,Ulysses,3.75,"130,077 ratings","9,766 reviews","James Joyce2,078 books8,551 followers"
GenresFictionClassicsHistorical FictionMagical RealismLiteratureHistoricalSchool ...more,"First published September 16, 1987",Toni Morrison,Beloved,3.96,"447,309 ratings","22,597 reviews",Toni Morrison214 books20.3k followers
GenresClassicsFictionHistorical FictionWarHistoricalLiteratureSchool ...more,"First published January 1, 1928",Erich Maria Remarque,All Quiet on the Western Front,4.08,"472,216 ratings","19,052 reviews","Erich Maria Remarque191 books5,460 followers"
GenresFictionHistorical FictionChinaClassicsLiteratureHistoricalAsia ...more,"First published March 2, 1931",Pearl S. Buck,The Good Earth,4.00,"252,293 ratings","11,896 reviews","Pearl S. Buck628 books2,727 followers"
GenresFictionHumorLiteratureComedyNovelsClassicsAmerican ...more,"First published May 1, 1980",John Kennedy Toole,A Confederacy of Dunces,3.89,"280,265 ratings","19,229 reviews","John Kennedy Toole3 books1,262 followers"
GenresNonfictionMemoirBiographyClassicsIrelandAutobiographyBiography Memoir ...more,"First published September 5, 1996",Frank McCourt,Angela’s Ashes,4.15,"636,144 ratings","14,563 reviews","Frank McCourt52 books2,255 followers"
GenresFictionHistorical FictionClassicsChinaContemporaryHistoricalAdult Fiction ...more,"First published January 1, 1989",Amy Tan,The Joy Luck Club,3.97,"689,701 ratings","13,775 reviews",Amy Tan119 books10.5k followers
GenresFictionClassicsHistorical FictionLiteratureWarNovelsAmerican ...more,"First published October 1, 1940",Ernest Hemingway,For Whom the Bell Tolls,3.98,"298,623 ratings","9,370 reviews","Ernest Hemingway1,875 books29.7k followers"
GenresFictionClassicsPhilosophyLiteratureNovelsPoliticsArchitecture ...more,"First published April 15, 1943",Ayn Rand,The Fountainhead,3.89,"326,365 ratings","14,514 reviews","Ayn Rand500 books9,653 followers"
GenresClassicsFictionLiteratureNovelsAmericanSouthern Gothic20th Century ...more,"First published October 7, 1929",William Faulkner,The Sound and the Fury,3.86,"185,040 ratings","9,663 reviews","William Faulkner983 books9,671 followers"
GenresFictionClassicsLiteratureContemporaryNovelsLiterary FictionHumor ...more,"First published April 24, 1978",John Irving,The World According to Garp,4.10,"230,959 ratings","6,968 reviews",John Irving145 books15.1k followers
GenresClassicsFictionScience FictionDystopiaHorrorLiteratureNovels ...more,"First published January 1, 1962",Anthony Burgess,A Clockwork Orange,4.00,"724,975 ratings","21,619 reviews","Anthony Burgess308 books3,936 followers"
GenresClassicsHistorical FictionChildrensFictionYoung AdultHistoricalMiddle Grade ...more,"First published January 1, 1935",Laura Ingalls Wilder,Little House on the Prairie,4.21,"293,453 ratings","5,749 reviews","Laura Ingalls Wilder339 books4,968 followers"
GenresClassicsFictionHistorical FictionSchoolAfrican AmericanLiteratureFeminism ...more,"First published January 1, 1937",Zora Neale Hurston,Their Eyes Were Watching God,3.98,"355,675 ratings","21,414 reviews","Zora Neale Hurston164 books4,793 followers"
GenresFictionHistorical FictionClassicsWarLiteratureNovelsAmerican ...more,"First published September 1, 1929",Ernest Hemingway,A Farewell to Arms,3.82,"328,305 ratings","14,578 reviews","Ernest Hemingway1,875 books29.7k followers"
GenresClassicsFictionLiteratureHistorical FictionRaceAfrican AmericanNovels ...more,"First published April 14, 1952",Ralph Ellison,Invisible Man,3.91,"191,269 ratings","8,606 reviews","Ralph Ellison96 books1,779 followers"
GenresFictionClassicsScience FictionYoung AdultPsychologySchoolLiterature ...more,"First published April 1, 1966",Daniel Keyes,Flowers for Algernon,4.21,"694,006 ratings","35,789 reviews","Daniel Keyes95 books2,124 followers"
GenresClassicsFictionYoung AdultChildrensMiddle GradeHistorical FictionAnimals ...more,"First published January 1, 1961",Wilson Rawls,Where the Red Fern Grows,4.12,"414,264 ratings","14,398 reviews",Wilson Rawls24 books856 followers
GenresChristianNonfictionTheologyChristianityClassicsPhilosophyFaith ...more,"First published January 1, 1942",C.S. Lewis,Mere Christianity,4.36,"427,735 ratings","13,073 reviews","C.S. Lewis1,121 books43.6k followers"
GenresPlaysClassicsFictionTheatreLiteraturePhilosophySchool ...more,"First published April 1, 1952",Samuel Beckett,Waiting for Godot,3.84,"206,005 ratings","9,283 reviews","Samuel Beckett795 books6,025 followers"
GenresFantasyFictionEpic FantasyHigh FantasyAdultScience Fiction FantasyAdventure ...more,"First published August 6, 1996",George R.R. Martin,A Game of Thrones,4.44,"2,543,283 ratings","65,546 reviews","George R.R. Martin1,057 books113k followers"
GenresFictionHistorical FictionWesternsClassicsHistoricalAdventureNovels ...more,"First published January 1, 1985",Larry McMurtry,Lonesome Dove,4.54,"199,622 ratings","12,969 reviews","Larry McMurtry174 books3,418 followers"
GenresFictionHistorical FictionClassicsWarShort StoriesSchoolHistorical ...more,"First published March 28, 1990",Tim O'Brien,The Things They Carried,4.14,"321,433 ratings","19,462 reviews","Tim O'Brien118 books2,991 followers"
GenresHistorical FictionFictionHistoricalReligionBook ClubFeminismAdult ...more,"First published January 1, 1997",Anita Diamant,The Red Tent,4.20,"606,588 ratings","22,489 reviews","Anita Diamant30 books4,443 followers"
GenresFictionHistorical FictionHolocaustWarClassicsHistoricalWorld War II ...more,"First published January 1, 1979",William Styron,Sophie’s Choice,4.17,"91,935 ratings","3,112 reviews",William Styron99 books845 followers
GenresClassicsFictionLiteratureNovelsFeminismLiterary Fiction20th Century ...more,"First published May 5, 1927",Virginia Woolf,To the Lighthouse,3.80,"189,615 ratings","14,096 reviews","Virginia Woolf1,599 books25.4k followers"
GenresFictionClassicsHumorJournalismNovelsLiteratureAmerican ...more,"First published July 7, 1971",Hunter S. Thompson,Fear and Loathing in Las Vegas,4.07,"355,487 ratings","9,876 reviews",Hunter S. Thompson79 books10k followers
GenresFictionShort StoriesLiteratureClassicsAmericanNovelsLiterary Fiction ...more,"First published January 1, 1957",J.D. Salinger,Franny and Zooey,3.96,"226,327 ratings","11,112 reviews",J.D. Salinger209 books15.3k followers
GenresFictionClassicsScience FictionHumorLiteratureNovelsDystopia ...more,"First published January 1, 1963",Kurt Vonnegut Jr.,Cat’s Cradle,4.15,"410,534 ratings","16,162 reviews",Kurt Vonnegut Jr.569 books34.4k followers
GenresClassicsFictionLiteratureIrish LiteratureIrelandNovels20th Century ...more,"First published December 16, 1916",James Joyce,A Portrait of the Artist as a Young Man,3.64,"154,536 ratings","7,988 reviews","James Joyce2,078 books8,551 followers"
GenresFictionDystopiaScience FictionClassicsNovelsLiteraturePortugal ...more,"First published January 1, 1995",José Saramago,Blindness,4.17,"299,221 ratings","24,969 reviews",José Saramago291 books15.3k followers
GenresMysteryFictionThrillerCrimeMystery ThrillerClassicsAudiobook ...more,"First published November 6, 1939",Agatha Christie,And Then There Were None,4.28,"1,409,534 ratings","68,164 reviews","Agatha Christie4,461 books67.4k followers"
GenresChildrensFictionClassicsFantasyAnimalsMiddle GradePicture Books ...more,"First published October 14, 1926",A.A. Milne,Winnie-the-Pooh,4.38,"377,483 ratings","8,042 reviews","A.A. Milne1,863 books3,384 followers"
GenresFantasyFictionRomanceHumorYoung AdultAdventureClassics ...more,"First published September 1, 1973",William Goldman,The Princess Bride,4.27,"910,695 ratings","27,022 reviews","William Goldman64 books2,519 followers"
GenresFictionClassicsAdventureYoung AdultAnimalsHistorical FictionLiterature ...more,"First published January 1, 1903",Jack London,The Call of the Wild,3.91,"439,337 ratings","16,110 reviews","Jack London4,871 books7,036 followers"
GenresFictionPhilosophyLiteratureClassicsGerman LiteratureNovelsDystopia ...more,"First published January 1, 1925",Franz Kafka,The Trial,3.95,"340,382 ratings","16,120 reviews","Franz Kafka2,984 books31.4k followers"
GenresFictionContemporaryChick LitComing Of AgeAdult FictionNovelsAdult ...more,"First published August 24, 1992",Wally Lamb,She’s Come Undone,3.91,"349,991 ratings","11,440 reviews","Wally Lamb16 books7,893 followers"
GenresChildrensClassicsFictionHumorYoung AdultPicture BooksPoetry ...more,"First published January 1, 1974",Shel Silverstein,Where the Sidewalk Ends,4.34,"1,424,172 ratings","12,679 reviews",Shel Silverstein138 books10k followers
GenresFictionClassicsHistorical FictionHorrorThrillerMysteryCrime ...more,"First published February 26, 1985",Patrick Süskind,Perfume: The Story of a Murderer,4.04,"485,813 ratings","27,010 reviews","Patrick Süskind39 books3,761 followers"
GenresFictionClassicsThrillerNovelsMysteryLiteratureAdult ...more,"First published August 17, 1996",Chuck Palahniuk,Fight Club,4.19,"603,463 ratings","23,002 reviews",Chuck Palahniuk228 books130k followers
GenresClassicsFictionHistorical FictionWarHumorLiteratureNovels ...more,"First published November 10, 1961",Joseph Heller,Catch-22,3.99,"840,955 ratings","24,277 reviews","Joseph Heller58 books2,798 followers"
GenresFictionClassicsLiteratureNovelsFeminismBritish LiteratureLiterary Fiction ...more,"First published May 14, 1925",Virginia Woolf,Mrs. Dalloway,3.79,"315,839 ratings","19,610 reviews","Virginia Woolf1,599 books25.4k followers"
GenresNonfictionBiographyHistoryChristianMemoirClassicsHolocaust ...more,"First published January 1, 1971",Corrie ten Boom,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,4.47,"331,537 ratings","14,187 reviews","Corrie ten Boom111 books1,518 followers"
GenresGraphic NovelsFictionScience FictionFantasyGraphic Novels ComicsClassicsComic Book ...more,"First published January 1, 1987",Alan             Moore,Watchmen,4.38,"565,963 ratings","17,749 reviews","Alan             Moore1,686 books20.3k followers"
GenresClassicsPlaysFictionHistorical FictionSchoolRead For SchoolHistorical ...more,"First published May 1, 1946",Arthur Miller,The Crucible: A Play in Four Acts,3.60,"418,594 ratings","12,606 reviews","Arthur Miller532 books2,831 followers"
GenresFictionHistorical FictionWesternsClassicsHorrorLiteratureNovels ...more,"First published April 28, 1985",Cormac McCarthy,"Blood Meridian, or, the Evening Redness in the West",4.16,"175,425 ratings","17,855 reviews",Cormac McCarthy43 books25.3k followers
GenresComicsHumorGraphic NovelsFictionChildrensComedyGraphic Novels Comics ...more,"First published January 1, 1987",Bill Watterson,Calvin and Hobbes,4.61,"147,772 ratings","1,101 reviews","Bill Watterson390 books4,605 followers"
GenresYoung AdultFictionClassicsComing Of AgeRomanceMental HealthRealistic Fiction ...more,"First published February 1, 1999",Stephen Chbosky,The Perks of Being a Wallflower,4.23,"1,841,856 ratings","95,338 reviews",Stephen Chbosky9 books13.1k followers
GenresClassicsChildrensFictionPicture BooksFantasyAnimalsYoung Adult ...more,"First published January 1, 1922",Margery Williams Bianco,The Velveteen Rabbit,4.30,"261,420 ratings","5,087 reviews",Margery Williams Bianco95 books594 followers
GenresHorrorFantasyFictionVampiresParanormalClassicsGothic ...more,"First published April 12, 1976",Anne Rice,Interview with the Vampire,4.02,"602,032 ratings","17,404 reviews",Anne Rice321 books26k followers
GenresFictionClassicsHistorical FictionAfricaSchoolLiteratureNigeria ...more,"First published January 1, 1958",Chinua Achebe,Things Fall Apart,3.73,"380,840 ratings","20,557 reviews","Chinua Achebe143 books3,844 followers"
GenresFictionClassicsPhilosophyGerman LiteratureLiteratureNovelsGermany ...more,"First published January 1, 1927",Hermann Hesse,Steppenwolf,4.13,"191,134 ratings","8,632 reviews","Hermann Hesse1,883 books17.6k followers"
GenresChildrensPicture BooksChristmasClassicsFictionPoetryFantasy ...more,"First published October 12, 1957",Dr. Seuss,How the Grinch Stole Christmas!,4.38,"420,434 ratings","4,724 reviews",Dr. Seuss941 books17.8k followers
GenresHorrorFictionThrillerClassicsFantasyParanormalMystery ...more,"First published January 28, 1977",Stephen         King,The Shining,4.27,"1,532,534 ratings","40,640 reviews","Stephen         King2,555 books854k followers"
GenresPoetryClassicsPhilosophyFictionSpiritualityReligionLiterature ...more,"First published January 1, 1923",Kahlil Gibran,The Prophet,4.23,"305,210 ratings","15,018 reviews","Kahlil Gibran1,188 books14.4k followers"
GenresClassicsFictionLiteratureNovelsAmericanSchoolSouthern Gothic ...more,"First published January 1, 1930",William Faulkner,As I Lay Dying,3.72,"172,244 ratings","11,301 reviews","William Faulkner983 books9,671 followers"
GenresFictionClassicsPhilosophyFranceLiteratureFrench LiteratureNovels ...more,"First published June 10, 1947",Albert Camus,The Plague,4.02,"273,099 ratings","16,014 reviews",Albert Camus857 books32k followers
GenresChildrensPicture BooksClassicsFictionPoetryKidsAnimals ...more,"First published September 3, 1947",Margaret Wise Brown,Goodnight Moon,4.31,"378,664 ratings","7,266 reviews","Margaret Wise Brown396 books1,000 followers"
GenresPoetryClassicsFictionLiterature20th CenturySchoolAmerican ...more,"First published December 1, 1922",T.S. Eliot,The Waste Land,4.11,"55,072 ratings","1,827 reviews","T.S. Eliot1,010 books5,222 followers"
GenresFantasyFictionChildrensClassicsAdventureYoung AdultMiddle Grade ...more,"First published January 1, 1911",J.M. Barrie,Peter Pan,4.06,"1,458,576 ratings","17,650 reviews","J.M. Barrie1,988 books2,176 followers"
GenresFictionHistorical FictionRomanceClassicsHistoricalHistorical RomanceDrama ...more,"First published April 1, 1977",Colleen McCullough,The Thorn Birds,4.25,"353,580 ratings","8,181 reviews","Colleen McCullough95 books2,816 followers"
